"id","kmt","ddp","pfp"
"10008090-004",28.3,53.5,16.5
"10008090-011",29.3,57.2,12.9
"10008070-005",27.8,55,15.4
"10008070-010",27.1,57.5,14
"10008070-006",35.9,49.3,13
"10008070-007",39.2,46.4,13.7
"10008070-011",29.8,59.2,9.9
"10008070-008",34.8,45.3,18.4
"10008070-002",30.3,53.5,14.5
"10008070-012",26.8,59.5,11.8
"10008070-001",33.6,52.8,13
"10008070-013",18.2,57,23.7
"10008070-003",30.8,50.5,17.2
"10008070-009",26.7,59.5,12.4
"10008070-004",34.1,45.4,18.9
"10008050-008",28.5,53.1,16.6
"10008050-009",31.7,54.6,11.4
"10008050-006",26.6,53.2,18.2
"10008050-004",27.3,54,16.7
"10008050-007",33.8,49.5,15.8
"10008050-002",30.4,51.1,16.2
"10008050-003",28.1,55.7,13.5
"10008050-010",32.2,49,16.5
"10008050-001",34,47.4,16.2
"10008050-005",22,58.9,16.8
"10008050-011",35.5,51.2,12.2
"10013080-003",16.4,75.8,7
"10013080-001",14.1,79.9,5.4
"10013080-002",17.2,73.9,8.1
"10013080-006",13.1,78.4,7.4
"10013080-005",17.6,73.6,8.2
"10013080-004",18.2,75.4,5.4
"10013080-011",18.8,70.2,9.8
"10013080-010",18.4,72.9,7.9
"10013080-007",14.7,78.9,5.6
"10013080-009",20.4,72.2,6.1
"10013080-008",18.1,75.4,5.5
"10013260-001",59.9,18.6,20.4
"10013260-006",60.7,23.3,15
"10013260-004",59.2,18.2,20.2
"10013260-008",51,28.1,19.6
"10013260-009",65.2,12.1,20.5
"10013260-010",62.3,19.2,17
"10013260-007",52.9,25,21.6
"10013260-002",67.1,22.7,9.7
"10013260-003",48.6,37.1,13.7
"10013260-005",63.2,22.7,13.9
"10013130-014",15.9,77.4,5.9
"10013130-020",25.1,66.1,7.7
"10013130-016",14.2,77.4,7.1
"10013130-002",26.2,66.2,7
"10013130-001",25.7,63.7,9.5
"10013130-023",30.9,54.9,13
"10013130-011",18,72.7,8
"10013130-015",19.6,72.5,6.8
"10013130-006",25.8,64.8,8.5
"10013130-013",18.6,72.7,7.4
"10013130-012",16.9,75.2,6.7
"10013130-007",23.1,67,8.7
"10013130-019",30,61.7,6.8
"10013130-005",25.7,65.4,7.9
"10013130-009",24,67.1,7.7
"10013130-010",18.2,73.2,7.3
"10013130-004",19.7,75.5,3.7
"10013130-022",24.4,61.9,12
"10013130-021",19.4,71.4,8.2
"10013130-003",18.4,72.9,7.2
"10013130-017",31.5,58.1,9.4
"10013130-018",39.7,48,10.7
"10013130-008",21.8,69.3,8.1
"10013140-006",24.1,68.9,6.3
"10013140-014",26.3,67.7,5.1
"10013140-012",18.9,73.5,6.7
"10013140-011",23.2,67.5,7.6
"10013140-001",24.7,67.5,7.1
"10013140-002",16.2,76.2,6.9
